audio,label,gender,text
KETI_MULTIMODAL_0000000012_00.wav,hap,female,우리 샤방샤방 선호야! 너도 한 곡 뽑아봐.
KETI_MULTIMODAL_0000000012_01.wav,hap,male,저는 아는 노래가 별로 없는데.
KETI_MULTIMODAL_0000000012_02.wav,neu,male,"으이구, 없어도 있게 만들어야지! 아니 막내가 돼가지고 분위기 띄울 생각은 안하고. 제가 한 번 해보겠습니다!"
KETI_MULTIMODAL_0000000012_03.wav,hap,female,"어, 그래, 그래."
KETI_MULTIMODAL_0000000013_00.wav,neu,female,그래 엄마. 오빠 불러올게 내가 지금.
KETI_MULTIMODAL_0000000013_01.wav,ang,female,야야야 김서방 공부하잖아. 아이고 좀 당신이 좀 갔다 오셔. 맨날 구들장만 지지고 앉아있지만 말고.
KETI_MULTIMODAL_0000000013_02.wav,ang,male,아 김서방도 있는데 왜 늙은 나 시키고 그래.
KETI_MULTIMODAL_0000000015_00.wav,hap,female,예
KETI_MULTIMODAL_0000000015_01.wav,neu,female,아 구인광고에는 나이제한이 없길래
KETI_MULTIMODAL_0000000015_02.wav,neu,male,어 그렇긴 한데 설마 저보다 나이 많은 분이 올준 몰랐어요
KETI_MULTIMODAL_0000000015_03.wav,neu,female,제가 나이가 많은 만큼 경력이 꽤 돼요 그 동네 전단지부터 전국 축제행사 관공서 일까지 안해본게 없구요 지금도 프리랜서로 고깃집 체인점일까지 제가 도맡아서
KETI_MULTIMODAL_0000000015_04.wav,neu,male,알았어요 연락 드릴게요
KETI_MULTIMODAL_0000000016_00.wav,dis,female,너야말로 어따대고 반말이야? 나이도 어린게 확 그냥!
KETI_MULTIMODAL_0000000016_01.wav,ang,female,이 나이에 시집 못가고 면접보러 다니는게 죄냐? 이렇게 버릴거면 연락 한단 소릴 말든가 나이 많은 사람 오는게 싫으면 나이 제한을 확실하게 적어 놓든가!
KETI_MULTIMODAL_0000000016_02.wav,neu,male,아 근데 어따대고 반말이야?
KETI_MULTIMODAL_0000000017_00.wav,ang,male,아휴... 그냥 놔뒀으면 3억을 벌었는데 달랑 3천에 팔았으니 이 일을 어떡하면 좋나? 이 일을!
KETI_MULTIMODAL_0000000017_01.wav,sur,male,아휴... 마 마 마 말도 안 돼. 어떻게 여기에 다리가 생기냐?
KETI_MULTIMODAL_0000000017_02.wav,ang,male,그러게 내가 팔지 말랬잖아. 내가 응?! 아이고 그렇게 잘 아는 사람처럼 팔자고 우겨대더니만 꼴 좋다. 꼴 좋아!
KETI_MULTIMODAL_0000000017_03.wav,sur,male,죄송합니다. 아 저 혹시 이거 장모님도 아시는 거예요?
KETI_MULTIMODAL_0000000017_04.wav,ang,male,아니 알았으면? 알았으면 가만히 있었겠나? 바로 미쳐서 날뛰겠지.
KETI_MULTIMODAL_0000000017_05.wav,fea,male,아이.. 저 저 어떡해요 장인어른?
KETI_MULTIMODAL_0000000017_06.wav,sad,male,가... 감사합니다.
