audio,multi_emotion
flagship_a_01888.wav,중립
flagship_a_19578.wav,황홀함 감동 자신감 즐거움 홀가분함 설렘 만족
flagship_a_04261.wav,괴로움 불안 싫음 짜증남 분노 억울함
flagship_a_00664.wav,두려움 불안 당황 놀람
flagship_a_16740.wav,중립
flagship_a_34031.wav,싫음 짜증남 분노
flagship_a_30140.wav,중립
flagship_a_36116.wav,슬픔 미안함 안타까움 싫음 짜증남
flagship_a_05560.wav,두려움 불안 당황 싫음 억울함
flagship_a_34089.wav,싫음
flagship_a_11681.wav,슬픔 실망 두려움 불안 짜증남
flagship_a_26071.wav,싫음 미워함 짜증남 분노
flagship_a_00822.wav,싫음 짜증남
flagship_a_31272.wav,싫음 지루함 중립
flagship_a_40063.wav,행복 즐거움
flagship_a_32874.wav,싫음 짜증남
flagship_a_07451.wav,당황 놀람
flagship_a_41128.wav,싫음
flagship_a_17520.wav,당황 놀람
flagship_a_23838.wav,짜증남
flagship_a_17160.wav,행복 기쁨 즐거움 만족
flagship_a_37957.wav,싫음 미워함 짜증남
flagship_a_16375.wav,싫음 짜증남
flagship_a_26260.wav,싫음 짜증남
flagship_a_09794.wav,후회
flagship_a_04198.wav,짜증남
flagship_a_26255.wav,싫음 짜증남 분노
flagship_a_43769.wav,중립
flagship_a_41502.wav,싫음 짜증남 분노
flagship_a_40062.wav,당황 싫음 미워함 짜증남 분노 놀람
flagship_a_43302.wav,싫음 짜증남 분노
studio_a_05932.wav,당황 짜증남
flagship_a_37644.wav,당황 놀람
flagship_a_15357.wav,당황 놀람
flagship_a_09281.wav,짜증남 분노
flagship_a_16527.wav,당황 놀람
studio_a_03502.wav,짜증남 분노
flagship_a_40364.wav,싫음 짜증남
flagship_a_00898.wav,중립
flagship_a_38935.wav,행복 만족
flagship_a_40406.wav,당황 놀람
flagship_a_10497.wav,중립
flagship_a_22950.wav,중립
studio_a_08842.wav,짜증남 분노
flagship_a_38619.wav,중립
flagship_a_02320.wav,짜증남 분노
flagship_a_42207.wav,당황 놀람
flagship_a_06386.wav,당황 놀람
flagship_a_43409.wav,만족
flagship_a_05143.wav,짜증남
flagship_a_02643.wav,슬픔 안타까움 두려움 불안 당황 싫음
flagship_a_23163.wav,싫음 짜증남
studio_a_07748.wav,싫음 짜증남 분노
flagship_a_03065.wav,싫음 미워함 짜증남 분노
nia_a_81196.wav,싫음 미워함 짜증남
flagship_a_02998.wav,행복
nia_a_41305.wav,실망
nia_a_28030.wav,싫음 분노
flagship_a_13666.wav,싫음
studio_a_09940.wav,바람
nia_a_03204.wav,싫음
flagship_a_10109.wav,중립
nia_a_32694.wav,싫음
nia_a_25734.wav,중립
flagship_a_09839.wav,슬픔 안타까움 실망 짜증남 분노 억울함
flagship_a_05579.wav,짜증남 분노
nia_a_78909.wav,중립
flagship_a_03868.wav,싫음 짜증남 분노
flagship_a_38908.wav,짜증남
nia_a_53365.wav,중립
nia_a_48820.wav,중립
nia_a_25690.wav,중립
studio_a_07705.wav,안타까움
flagship_a_39810.wav,기쁨
nia_a_10869.wav,중립
flagship_a_11760.wav,즐거움 홀가분함
studio_a_10300.wav,싫음 짜증남
flagship_a_27954.wav,중립
drama_a_01777.wav,기쁨 고마움
studio_a_08259.wav,짜증남
flagship_a_05788.wav,중립
flagship_a_13741.wav,싫음 분노
drama_a_09893.wav,즐거움
drama_a_32243.wav,자신감
studio_a_05621.wav,중립
drama_a_39274.wav,당황 놀람
drama_a_14693.wav,슬픔
nia_a_62890.wav,중립
studio_a_02092.wav,당황 놀람
nia_a_00276.wav,행복 만족
flagship_a_12267.wav,싫음 짜증남 분노
nia_a_78561.wav,싫음 짜증남 분노
studio_a_03007.wav,행복 만족
studio_a_06787.wav,싫음 짜증남 분노
nia_a_15554.wav,싫음 짜증남
nia_a_71031.wav,행복 만족
drama_a_64493.wav,중립
nia_a_48940.wav,중립
flagship_a_30154.wav,싫음 짜증남 분노
drama_a_03499.wav,싫음 짜증남 분노
drama_a_16174.wav,중립
nia_a_40371.wav,중립
drama_a_08869.wav,슬픔 괴로움
flagship_a_30994.wav,싫음 짜증남 분노
drama_a_17884.wav,싫음 짜증남 분노
drama_a_34250.wav,당황 놀람
flagship_a_39010.wav,중립
nia_a_61221.wav,싫음 짜증남 분노
flagship_a_06251.wav,괴로움
drama_a_18762.wav,중립
flagship_a_26238.wav,싫음 놀람
flagship_a_31430.wav,싫음 짜증남
nia_a_78411.wav,행복 설렘 만족
nia_a_05902.wav,기쁨 즐거움
drama_a_39800.wav,슬픔 싫음
flagship_a_32357.wav,즐거움 당황 싫음
flagship_a_01368.wav,싫음 짜증남
drama_a_28739.wav,싫음 짜증남
nia_a_66511.wav,당황 놀람
drama_a_26322.wav,슬픔 안타까움 불안
drama_a_30342.wav,싫음 짜증남 분노
flagship_a_28169.wav,싫음 짜증남
drama_a_47864.wav,싫음 짜증남
flagship_a_33662.wav,행복 기쁨 즐거움 만족
studio_a_04607.wav,싫음 짜증남 분노
nia_a_53746.wav,싫음 짜증남 분노
flagship_a_15922.wav,당황 싫음 짜증남 분노 놀람
drama_a_59099.wav,두려움 불안 당황 싫음
flagship_a_39110.wav,싫음 짜증남 분노
drama_a_02849.wav,싫음 미워함 짜증남
drama_a_57464.wav,싫음 짜증남
flagship_a_27687.wav,싫음 짜증남 분노
drama_a_03914.wav,불안 당황 싫음 분노
drama_a_18989.wav,싫음 짜증남 분노
drama_a_40364.wav,싫음 짜증남
flagship_a_41436.wav,행복 기쁨 즐거움 만족
nia_a_40111.wav,행복 기쁨 즐거움 만족
drama_a_41009.wav,기쁨 자신감 만족
flagship_a_23755.wav,당황 놀람
nia_a_27466.wav,짜증남
nia_a_23761.wav,당황 놀람
nia_a_14896.wav,지루함
flagship_a_29001.wav,기쁨 자신감 즐거움
drama_a_34836.wav,짜증남 놀람
drama_a_42433.wav,슬픔 안타까움 실망 후회 싫음 억울함
flagship_a_14527.wav,싫음 짜증남 분노
flagship_a_31463.wav,중립
drama_a_39878.wav,분노
flagship_a_17056.wav,당황 짜증남
flagship_a_18555.wav,실망 싫음
drama_a_18607.wav,행복 홀가분함
flagship_a_03478.wav,안타까움
drama_a_38017.wav,안타까움
flagship_a_11475.wav,중립
drama_a_49477.wav,중립
drama_a_14632.wav,행복 기쁨 즐거움 만족
drama_a_46732.wav,안타까움 싫음 짜증남
drama_a_35077.wav,안타까움
drama_a_24187.wav,중립
flagship_a_36612.wav,행복 즐거움 홀가분함 만족
drama_a_41467.wav,안타까움 괴로움
drama_a_00682.wav,싫음 짜증남
drama_a_31063.wav,두려움 불안 당황 싫음 짜증남 분노 놀람
drama_a_58657.wav,행복 기쁨 즐거움 만족
flagship_a_06929.wav,중립
drama_a_00936.wav,두려움 불안 당황 놀람
drama_a_49310.wav,싫음 미워함 분노
flagship_a_00325.wav,중립
drama_a_09740.wav,싫음 짜증남
flagship_a_25503.wav,짜증남
drama_a_33232.wav,괴로움 싫음 짜증남 분노 억울함 놀람
drama_a_50947.wav,슬픔 불안 싫음 짜증남 분노 억울함
flagship_a_04633.wav,무관심
flagship_a_03672.wav,행복 즐거움 만족
flagship_a_39477.wav,싫음 짜증남
drama_a_25131.wav,싫음 짜증남
drama_a_55161.wav,싫음 짜증남
flagship_a_44892.wav,싫음
