audio,7 emotion label,34 multi emotion label,7 ox,top 1 ox,top 3 ox,top 5 ox,7 emotion,7 prob,top 1 emotion,top 1 prob,top 3 emotion,top 3 prob,top 5 emotion,top 5 prob,top 1 ox (mapping 7),top 1 emotion (mapping 7),top 3 ox (mapping 7),top 3 emotion (mapping 7),top 5 ox (mapping 7),top 5 emotion (mapping 7)
studio_a_00469.wav,두려움,중립,O,O,O,O,0.8249737024307251,두려움,중립,0.2627,싫음 당황 중립,0.1099 0.1431 0.2627,싫음 불안 당황 안타까움 중립,0.1099 0.0871 0.1431 0.0725 0.2627,X,중립,O,싫음 두려움 중립,O,싫음 두려움 슬픔 중립
studio_a_08905.wav,두려움,중립,O,X,X,X,0.9304185509681702,두려움,당황,0.2494,싫음 당황 놀람,0.1121 0.2494 0.1714,싫음 짜증남 불안 당황 놀람,0.1121 0.0759 0.0868 0.2494 0.1714,O,두려움,O,싫음 두려움 놀람,O,싫음 두려움 놀람
studio_a_00042.wav,두려움,놀람,O,X,O,O,0.5830262303352356,두려움,당황,0.2507,당황 놀람 중립,0.2507 0.2152 0.1413,싫음 짜증남 당황 놀람 중립,0.1146 0.0723 0.2507 0.2152 0.1413,O,두려움,O,두려움 놀람 중립,O,싫음 두려움 놀람 중립
studio_a_03291.wav,두려움,분노 싫음 짜증남,O,O,O,O,0.46703287959098816,두려움,싫음,0.2612,싫음 짜증남 중립,0.2612 0.1526 0.1639,싫음 짜증남 불안 당황 중립,0.2612 0.1526 0.0648 0.1038 0.1639,X,싫음,X,싫음 중립,O,싫음 두려움 중립
studio_a_07819.wav,두려움,불안,O,X,X,O,0.5754832625389099,두려움,싫음,0.3793,분노 싫음 짜증남,0.0892 0.3793 0.3228,분노 싫음 짜증남 불안 당황,0.0892 0.3793 0.3228 0.0275 0.0404,X,싫음,X,분노 싫음,O,분노 싫음 두려움
studio_a_02116.wav,두려움,불안 중립,O,O,O,O,0.5488938689231873,두려움,중립,0.2107,싫음 당황 중립,0.1962 0.1534 0.2107,싫음 짜증남 당황 놀람 중립,0.1962 0.1218 0.1534 0.1266 0.2107,X,중립,O,싫음 두려움 중립,O,싫음 두려움 놀람 중립
studio_a_02582.wav,두려움,당황 놀람,O,X,O,O,0.7047598958015442,두려움,싫음,0.2011,싫음 짜증남 당황,0.2011 0.1206 0.1462,싫음 짜증남 불안 당황 중립,0.2011 0.1206 0.0795 0.1462 0.0925,X,싫음,O,싫음 두려움,O,싫음 두려움 중립
studio_a_08802.wav,두려움,싫음,O,O,O,O,0.8461737632751465,두려움,싫음,0.2606,싫음 짜증남 중립,0.2606 0.1637 0.1846,싫음 짜증남 불안 당황 중립,0.2606 0.1637 0.0636 0.0947 0.1846,X,싫음,X,싫음 중립,O,싫음 두려움 중립
studio_a_08907.wav,두려움,싫음,O,X,X,O,0.5844090580940247,두려움,당황,0.2891,당황 놀람 중립,0.2891 0.2837 0.0891,싫음 불안 당황 놀람 중립,0.0727 0.0627 0.2891 0.2837 0.0891,O,두려움,O,두려움 놀람 중립,O,싫음 두려움 놀람 중립
studio_a_05065.wav,두려움,당황 놀람,O,X,O,O,0.3746751546859741,두려움,싫음,0.1945,싫음 당황 중립,0.1945 0.1291 0.1345,싫음 짜증남 불안 당황 중립,0.1945 0.1182 0.0898 0.1291 0.1345,X,싫음,O,싫음 두려움 중립,O,싫음 두려움 중립
studio_a_07602.wav,두려움,싫음,O,O,O,O,0.6102852821350098,두려움,싫음,0.3345,싫음 짜증남 슬픔,0.3345 0.2029 0.0937,싫음 짜증남 슬픔 안타까움 중립,0.3345 0.2029 0.0937 0.0857 0.0653,X,싫음,X,싫음 슬픔,X,싫음 슬픔 중립
studio_a_05926.wav,두려움,분노 억울함 괴로움,O,X,X,X,0.8973696827888489,두려움,놀람,0.2821,싫음 당황 놀람,0.1045 0.2667 0.2821,싫음 짜증남 당황 놀람 중립,0.1045 0.0750 0.2667 0.2821 0.0732,X,놀람,O,싫음 두려움 놀람,O,싫음 두려움 놀람 중립
studio_a_04143.wav,두려움,싫음 괴로움,X,X,O,O,0.6702715754508972,싫음,중립,0.2751,싫음 짜증남 중립,0.1647 0.0901 0.2751,싫음 짜증남 슬픔 안타까움 중립,0.1647 0.0901 0.0743 0.0893 0.2751,X,중립,X,싫음 중립,X,싫음 슬픔 중립
studio_a_02847.wav,두려움,싫음 불안,O,X,O,O,0.5877985954284668,두려움,중립,0.3867,싫음 짜증남 중립,0.2821 0.1430 0.3867,싫음 짜증남 불안 안타까움 중립,0.2821 0.1430 0.0247 0.0378 0.3867,X,중립,X,싫음 중립,O,싫음 두려움 슬픔 중립
studio_a_04729.wav,두려움,당황 미안함,X,X,X,X,0.5026664137840271,행복,기쁨,0.2537,행복 기쁨 즐거움,0.1821 0.2537 0.2309,행복 기쁨 즐거움 설렘 만족,0.1821 0.2537 0.2309 0.0235 0.1379,X,행복,X,행복,X,행복
studio_a_04353.wav,두려움,당황 놀람,O,O,O,O,0.887503445148468,두려움,당황,0.1907,싫음 당황 놀람,0.1854 0.1907 0.1375,싫음 짜증남 당황 놀람 중립,0.1854 0.1323 0.1907 0.1375 0.0805,O,두려움,O,싫음 두려움 놀람,O,싫음 두려움 놀람 중립
studio_a_02472.wav,두려움,당황,O,X,O,O,0.6794171929359436,두려움,싫음,0.2038,싫음 짜증남 당황,0.2038 0.1602 0.1987,싫음 짜증남 불안 당황 놀람,0.2038 0.1602 0.0672 0.1987 0.1134,X,싫음,O,싫음 두려움,O,싫음 두려움 놀람
