audio,7 emotion label,34 multi emotion label,7 ox,top 1 ox,top 3 ox,top 5 ox,7 emotion,7 prob,top 1 emotion,top 1 prob,top 3 emotion,top 3 prob,top 5 emotion,top 5 prob,top 1 ox (mapping 7),top 1 emotion (mapping 7),top 3 ox (mapping 7),top 3 emotion (mapping 7),top 5 ox (mapping 7),top 5 emotion (mapping 7)
studio_a_00469.wav,두려움,중립,O,X,X,O,0.8559390902519226,두려움,당황,0.1910,싫음 불안 당황,0.1135 0.1223 0.1910,싫음 불안 당황 놀람 중립,0.1135 0.1223 0.1910 0.0994 0.0927,O,두려움,O,싫음 두려움,O,싫음 두려움 놀람 중립
studio_a_08905.wav,두려움,중립,O,X,X,O,0.8597726821899414,두려움,놀람,0.2467,싫음 당황 놀람,0.0882 0.2358 0.2467,싫음 불안 당황 놀람 중립,0.0882 0.0753 0.2358 0.2467 0.0752,X,놀람,O,싫음 두려움 놀람,O,싫음 두려움 놀람 중립
studio_a_00042.wav,두려움,놀람,O,O,O,O,0.9574098587036133,두려움,놀람,0.4186,싫음 당황 놀람,0.0876 0.2384 0.4186,싫음 불안 당황 놀람 중립,0.0876 0.0498 0.2384 0.4186 0.0800,X,놀람,O,싫음 두려움 놀람,O,싫음 두려움 놀람 중립
studio_a_03291.wav,두려움,분노 싫음 짜증남,X,O,O,O,0.4302450716495514,싫음,싫음,0.2199,싫음 당황 놀람,0.2199 0.1644 0.1223,싫음 짜증남 불안 당황 놀람,0.2199 0.0990 0.0780 0.1644 0.1223,X,싫음,O,싫음 두려움 놀람,O,싫음 두려움 놀람
studio_a_07819.wav,두려움,불안,O,X,X,O,0.392524391412735,두려움,싫음,0.1466,싫음 짜증남 괴로움,0.1466 0.1311 0.1331,싫음 짜증남 불안 당황 괴로움,0.1466 0.1311 0.1264 0.1039 0.1331,X,싫음,X,싫음 슬픔,O,싫음 두려움 슬픔
studio_a_02116.wav,두려움,불안 중립,X,X,X,O,0.4396892189979553,중립,놀람,0.2847,싫음 당황 놀람,0.1394 0.1905 0.2847,싫음 불안 당황 놀람 중립,0.1394 0.0749 0.1905 0.2847 0.1260,X,놀람,O,싫음 두려움 놀람,O,싫음 두려움 놀람 중립
studio_a_02582.wav,두려움,당황 놀람,O,O,O,O,0.7839745283126831,두려움,당황,0.1392,싫음 불안 당황,0.1176 0.1367 0.1392,싫음 불안 당황 괴로움 중립,0.1176 0.1367 0.1392 0.0881 0.0922,O,두려움,O,싫음 두려움,O,싫음 두려움 슬픔 중립
studio_a_08802.wav,두려움,싫음,O,X,O,O,0.4076330065727234,두려움,당황,0.1760,싫음 짜증남 당황,0.1687 0.1100 0.1760,싫음 짜증남 불안 당황 놀람,0.1687 0.1100 0.1073 0.1760 0.1085,O,두려움,O,싫음 두려움,O,싫음 두려움 놀람
studio_a_08907.wav,두려움,싫음,X,X,X,X,0.414829283952713,중립,놀람,0.5786,불안 당황 놀람,0.0501 0.2197 0.5786,두려움 불안 당황 놀람 중립,0.0214 0.0501 0.2197 0.5786 0.0273,X,놀람,O,두려움 놀람,O,두려움 놀람 중립
studio_a_05065.wav,두려움,당황 놀람,X,O,O,O,0.9047330617904663,싫음,당황,0.1971,싫음 당황 놀람,0.1763 0.1971 0.1490,싫음 짜증남 당황 놀람 중립,0.1763 0.1006 0.1971 0.1490 0.0752,O,두려움,O,싫음 두려움 놀람,O,싫음 두려움 놀람 중립
